Nama Lokasi,Level,Polygon XML
Bekasi > Bekasi Utara > SPBU Kaliabang,3,"<coordinates>106.99923489242792,-6.176504964184773 106.99923288077116,-6.176614296382321 106.99956212192774,-6.176617629680673 106.99956212192774,-6.176506964164196 106.99923489242792,-6.176504964184773 </coordinates>"
Bekasi > Bekasi Utara > Summarecon Mall Bekasi,3,"<coordinates>107.00275093317032,-6.225800822630331 107.00199991464615,-6.226147453211155 107.00044423341751,-6.227704621613242 106.99978440999985,-6.227118017620321 106.99980050325394,-6.226686063352051 106.99992388486862,-6.226419424737475 106.99982330203056,-6.226168784316357 107.00079292058945,-6.225112893569311 107.0011255145073,-6.225262211581591 107.00176924467087,-6.224632942528057 107.00275093317032,-6.225800822630331 </coordinates>"
Bekasi > Jatiasih,,
Bekasi > Jatiasih > Giant,3,"<coordinates>106.95925489068031,-6.294594494160771 106.9593594968319,-6.294631818702504 106.95941850543022,-6.294519845069228 106.95931389927864,-6.2944745224012815 106.95925489068031,-6.294594494160771 </coordinates>"
Bekasi > Jatiasih > Naga Swalayan,3,"<coordinates>106.96488820016384,-6.294327890213186 106.96487076580524,-6.294411870471446 106.96492172777653,-6.294407871411831 106.9649163633585,-6.294337221353669 106.96488820016384,-6.294327890213186 </coordinates>"
Bekasi > Jatiasih > Ruko Permata Bening,3,"<coordinates>106.95051088929176,-6.284871359732377 106.95048406720161,-6.284999331972239 106.95063963532448,-6.28503665720293 106.95068255066872,-6.284940678032869 106.95051223039627,-6.284871359732377 106.95051088929176,-6.284871359732377 </coordinates>"
Bekasi > Jatiasih > Ruko Sakura Regency,3,"<coordinates>106.95622198283672,-6.309633401097717 106.95563189685345,-6.309361472952317 106.9557123631239,-6.309201515153066 106.95629440248013,-6.309477442325892 106.95622198283672,-6.309633401097717 </coordinates>"
Bekasi > Jatisampurna,,
Bekasi > Jatisampurna > Giant,,
Bekasi > Jatisampurna > Giant Extra,3,"<coordinates>106.92215591669083,-6.349373362211084 106.922188103199,-6.349511981525879 106.92233830690384,-6.349506650014456 106.92232757806778,-6.34931471556666 106.92215591669083,-6.349373362211084 </coordinates>"
